Lfd.-Nr.:;Objektname;BNr.:;Sorte botanisch;Objekt_Nr;Objektname_Zusatz;Baumrevier;Produkt;Sorte deutsch;örtlicher Bezug;HausNr.:;Hausnr Zusatz;Hochwert;Rechtswert;Status Baumstandort;Schadstufe;Pflegekategorie;Datum_Erfassung;Bemerkung;Pflanzjahr;Standalter;Stammanzahl;Stammumfang;Stammdurchmesser;Pflegestufe;letzte_Kontrolle_am;nächste_Regelkontrolle;letzte_Kontrolle_von;Fälldatum;Fällgrund;Baumscheibenfläche;Baumhöhe;Kronendurchmesser;Baumscheibenbreite;Baumscheibenlänge;Baumscheibenradius;Baumscheibenoberfläche;Unterpflanzung;Standort;Einfassung;Wassersack;Giessring
1;Alt-Stralau;1;1 Quercus palustris (aktiv);ALT-STRA;;05.21. Baumrevier;64951 Pflege u. Unterh. von Straßenbäumen;Sumpf-Eiche;Tief. 32 B;;;5816911.801;396662.442;aktiv;5 absterbend bis tot / Schädigungsgrad 91-100%;1210 Straßenbaum;04.04.01;"27.03.2012 Notiz: Datenverlust durch Zusammenführung beider Versionen der Datenbank. Betrifft Einträge aus Zeitraum von November 2007 bis Februar 2012.
18.02.2014 Notiz: bei 1559 Bäumen das FKO in F geändert (auch gefällte)";2001;19;1;49;16;2 Pflegestufe 2 (Standard);30.01.20;28.01.21;BeckerM Martin;;18 abgestorben;4.25;7;3.5;;;;;;Baumscheibe;;FALSCH;FALSCH
2;Alt-Stralau;2;2 Quercus palustris (aktiv);ALT-STRA;;05.21. Baumrevier;64951 Pflege u. Unterh. von Straßenbäumen;Sumpf-Eiche;Tief. 32 B;;;5816917.669;396646.0182;aktiv;4 sehr geschädigt / Schädigungsgrad 61- 90%;1210 Straßenbaum;04.04.01;"27.03.2012 Notiz: Datenverlust durch Zusammenführung beider Versionen der Datenbank. Betrifft Einträge aus Zeitraum von November 2007 bis Februar 2012.
18.02.2014 Notiz: bei 1559 Bäumen das FKO in F geändert (auch gefällte)";2000;20;1;48;15;2 Pflegestufe 2 (Standard);30.01.20;28.01.21;BeckerM Martin;;18 abgestorben;5.4;7;4;;;;;;Baumscheibe;;FALSCH;FALSCH
3;Alt-Stralau;6;6 Quercus palustris (aktiv);ALT-STRA;;05.21. Baumrevier;64951 Pflege u. Unterh. von Straßenbäumen;Sumpf-Eiche;Tief. 35;;;5816954.867;396491.5621;aktiv;2 geschädigt / Schädigungsgrad 11- 25%;1210 Straßenbaum;04.04.01;"27.03.2012 Notiz: Datenverlust durch Zusammenführung beider Versionen der Datenbank. Betrifft Einträge aus Zeitraum von November 2007 bis Februar 2012.
18.02.2014 Notiz: bei 1559 Bäumen das FKO in F geändert (auch gefällte)";2000;20;1;51;16;2 Pflegestufe 2 (Standard);30.01.20;28.01.21;BeckerM Martin;;;5;7;2.5;;;;;;Baumscheibe;;FALSCH;FALSCH
4;Alt-Stralau;7;7 Quercus palustris (aktiv);ALT-STRA;;05.21. Baumrevier;64951 Pflege u. Unterh. von Straßenbäumen;Sumpf-Eiche;Tief. 36;;;5816957.728;396480.2406;aktiv;2 geschädigt / Schädigungsgrad 11- 25%;1210 Straßenbaum;04.04.01;"27.03.2012 Notiz: Datenverlust durch Zusammenführung beider Versionen der Datenbank. Betrifft Einträge aus Zeitraum von November 2007 bis Februar 2012.
18.02.2014 Notiz: bei 1559 Bäumen das FKO in F geändert (auch gefällte)";2000;20;1;40;13;2 Pflegestufe 2 (Standard);30.01.20;28.01.21;BeckerM Martin;;;5;7;2;;;;;;Baumscheibe;;FALSCH;FALSCH
5;Alt-Stralau;8;8 Quercus palustris (aktiv);ALT-STRA;;05.21. Baumrevier;64951 Pflege u. Unterh. von Straßenbäumen;Sumpf-Eiche;Tief. 37;;;5816959.9;396470.3608;aktiv;2 geschädigt / Schädigungsgrad 11- 25%;1210 Straßenbaum;04.04.01;"27.03.2012 Notiz: Datenverlust durch Zusammenführung beider Versionen der Datenbank. Betrifft Einträge aus Zeitraum von November 2007 bis Februar 2012.
18.02.2014 Notiz: bei 1559 Bäumen das FKO in F geändert (auch gefällte)";2000;20;1;42;13;2 Pflegestufe 2 (Standard);30.01.20;28.01.21;BeckerM Martin;;;5;7;2;;;;;;Baumscheibe;;FALSCH;FALSCH
6;Alt-Stralau;9;9 Quercus palustris (aktiv);ALT-STRA;;05.21. Baumrevier;64951 Pflege u. Unterh. von Straßenbäumen;Sumpf-Eiche;Tief. 38-39;;;5816965.566;396450.6265;aktiv;3 stark geschädigt / Schädigungsgrad 26- 60%;1210 Straßenbaum;04.04.01;"27.03.2012 Notiz: Datenverlust durch Zusammenführung beider Versionen der Datenbank. Betrifft Einträge aus Zeitraum von November 2007 bis Februar 2012.
18.02.2014 Notiz: bei 1559 Bäumen das FKO in F geändert (auch gefällte)";2000;20;1;28;9;2 Pflegestufe 2 (Standard);30.01.20;28.01.21;BeckerM Martin;;;5;7;2.2;;;;;;Baumscheibe;;FALSCH;FALSCH
7;Alt-Stralau;11;11 Platanus acerifolia (aktiv);ALT-STRA;;05.21. Baumrevier;64951 Pflege u. Unterh. von Straßenbäumen;Ahornblättrige Platane;TIEF. NR. 40-41;;;5816982.239;396408.6145;aktiv;2 geschädigt / Schädigungsgrad 11- 25%;1210 Straßenbaum;14.09.93;"14.09.1993 Wurzelraum beeinträchtigt: Wurzelraum ist durch Versiegelung beein-
14.09.1993 Wurzelraum beeinträchtigt: trächtigt.
27.03.2012 Notiz: Datenverlust durch Zusammenführung beider Versionen der Datenbank. Betrifft Einträge aus Zeitraum von November 2007 bis Februar 2012.
18.02.2014 Notiz: bei 1559 Bäumen das FKO in F geändert (auch gefällte)";1869;151;1;386;123;2 Pflegestufe 2 (Standard);30.01.20;28.01.21;BeckerM Martin;;;10;25;20;;;;;;Baumscheibe;;FALSCH;FALSCH
8;Alt-Stralau;12;12 Quercus palustris (aktiv);ALT-STRA;;05.21. Baumrevier;64951 Pflege u. Unterh. von Straßenbäumen;Sumpf-Eiche;Tief. 40-41;;;5816991.546;396385.2457;aktiv;2 geschädigt / Schädigungsgrad 11- 25%;1210 Straßenbaum;04.04.01;"27.03.2012 Notiz: Datenverlust durch Zusammenführung beider Versionen der Datenbank. Betrifft Einträge aus Zeitraum von November 2007 bis Februar 2012.
18.02.2014 Notiz: bei 1559 Bäumen das FKO in F geändert (auch gefällte)";2000;20;1;42;13;2 Pflegestufe 2 (Standard);30.01.20;28.01.21;BeckerM Martin;;;5.4;7;2.5;;;;;;Baumscheibe;;FALSCH;FALSCH
9;Alt-Stralau;13;13 Quercus coccinea (aktiv);ALT-STRA;;05.21. Baumrevier;64951 Pflege u. Unterh. von Straßenbäumen;Scharlach-Eiche;hnr.40/41;;;5816997.281;396372.211;aktiv;1 gesund / Schädigungsgrad 0 - 10%;1210 Straßenbaum;10.01.13;Neuerfassung;2019;1;1;28;9;2 Pflegestufe 2 (Standard);30.01.20;28.01.21;BeckerM Martin;;;4;5;2;2;2;;offener Boden;;;;FALSCH;FALSCH
10;Alt-Stralau;14;14 Quercus palustris (aktiv);ALT-STRA;;05.21. Baumrevier;64951 Pflege u. Unterh. von Straßenbäumen;Sumpf-Eiche;Tief. 42-43;;;5817003.293;396358.7486;aktiv;4 sehr geschädigt / Schädigungsgrad 61- 90%;1210 Straßenbaum;04.04.01;"27.03.2012 Notiz: Datenverlust durch Zusammenführung beider Versionen der Datenbank. Betrifft Einträge aus Zeitraum von November 2007 bis Februar 2012.
18.02.2014 Notiz: bei 1559 Bäumen das FKO in F geändert (auch gefällte)";2001;19;1;40;13;2 Pflegestufe 2 (Standard);30.01.20;28.01.21;BeckerM Martin;;18 abgestorben;9.5;7;2;;;;;;Baumscheibe;;FALSCH;FALSCH
11;Alt-Stralau;15;15 Quercus palustris (aktiv);ALT-STRA;;05.21. Baumrevier;64951 Pflege u. Unterh. von Straßenbäumen;Sumpf-Eiche;Tief. 42-43;;;5817010.84;396344.4735;aktiv;3 stark geschädigt / Schädigungsgrad 26- 60%;1210 Straßenbaum;04.04.01;"27.03.2012 Notiz: Datenverlust durch Zusammenführung beider Versionen der Datenbank. Betrifft Einträge aus Zeitraum von November 2007 bis Februar 2012.
18.02.2014 Notiz: bei 1559 Bäumen das FKO in F geändert (auch gefällte)";2000;20;1;38;12;2 Pflegestufe 2 (Standard);30.01.20;28.01.21;BeckerM Martin;;;5;7;3;;;;;;Baumscheibe;;FALSCH;FALSCH
12;Alt-Stralau;16;16 Quercus palustris (aktiv);ALT-STRA;;05.21. Baumrevier;64951 Pflege u. Unterh. von Straßenbäumen;Sumpf-Eiche;Tief. 44;;;5817016.592;396334.1328;aktiv;2 geschädigt / Schädigungsgrad 11- 25%;1210 Straßenbaum;04.04.01;"27.03.2012 Notiz: Datenverlust durch Zusammenführung beider Versionen der Datenbank. Betrifft Einträge aus Zeitraum von November 2007 bis Februar 2012.
18.02.2014 Notiz: bei 1559 Bäumen das FKO in F geändert (auch gefällte)";2000;20;1;38;12;2 Pflegestufe 2 (Standard);30.01.20;28.01.21;BeckerM Martin;;;4.75;7;2.2;;;;;;Baumscheibe;;FALSCH;FALSCH
