Pflegeobjekt;Baum Nr;Baumart;Erledigt_am
163840 1638-4 Pankepark-Verbindungsweg;1;Corylus colurna (aktiv);18.05.2020
163840 1638-4 Pankepark-Verbindungsweg;2;Corylus colurna (aktiv);18.05.2020
163840 1638-4 Pankepark-Verbindungsweg;3;Corylus colurna (aktiv);18.05.2020
163840 1638-4 Pankepark-Verbindungsweg;4;Corylus colurna (aktiv);18.05.2020
163840 1638-4 Pankepark-Verbindungsweg;5;Corylus colurna (aktiv);18.05.2020
163840 1638-4 Pankepark-Verbindungsweg;6;Corylus colurna (aktiv);18.05.2020
163840 1638-4 Pankepark-Verbindungsweg;7;Corylus colurna (aktiv);18.05.2020
163840 1638-4 Pankepark-Verbindungsweg;8;Corylus colurna (aktiv);18.05.2020
163840 1638-4 Pankepark-Verbindungsweg;9;Corylus colurna (aktiv);18.05.2020
163840 1638-4 Pankepark-Verbindungsweg;10;Corylus colurna (aktiv);18.05.2020
163840 1638-4 Pankepark-Verbindungsweg;11;Corylus colurna (aktiv);18.05.2020
163840 1638-4 Pankepark-Verbindungsweg;12;Corylus colurna (aktiv);18.05.2020
163840 1638-4 Pankepark-Verbindungsweg;13;Corylus colurna (aktiv);18.05.2020
163840 1638-4 Pankepark-Verbindungsweg;14;Corylus colurna (aktiv);18.05.2020
163840 1638-4 Pankepark-Verbindungsweg;15;Corylus colurna (aktiv);18.05.2020
163840 1638-4 Pankepark-Verbindungsweg;16;Corylus colurna (aktiv);18.05.2020
163840 1638-4 Pankepark-Verbindungsweg;17;Corylus colurna (aktiv);18.05.2020
163840 1638-4 Pankepark-Verbindungsweg;18;Corylus colurna (aktiv);18.05.2020
163840 1638-4 Pankepark-Verbindungsweg;19;Corylus colurna (aktiv);18.05.2020
163840 1638-4 Pankepark-Verbindungsweg;20;Corylus colurna (aktiv);18.05.2020
163840 1638-4 Pankepark-Verbindungsweg;21;Corylus colurna (aktiv);18.05.2020
163840 1638-4 Pankepark-Verbindungsweg;22;Corylus colurna (aktiv);18.05.2020
163840 1638-4 Pankepark-Verbindungsweg;23;Corylus colurna (aktiv);18.05.2020
163840 1638-4 Pankepark-Verbindungsweg;24;Corylus colurna (aktiv);18.05.2020
163840 1638-4 Pankepark-Verbindungsweg;25;Corylus colurna (aktiv);18.05.2020
163840 1638-4 Pankepark-Verbindungsweg;26;Corylus colurna (aktiv);18.05.2020
163840 1638-4 Pankepark-Verbindungsweg;27;Corylus colurna (aktiv);18.05.2020
163840 1638-4 Pankepark-Verbindungsweg;28;Corylus colurna (aktiv);18.05.2020
163840 1638-4 Pankepark-Verbindungsweg;29;Corylus colurna (aktiv);18.05.2020
163840 1638-4 Pankepark-Verbindungsweg;30;Corylus colurna (aktiv);18.05.2020
163840 1638-4 Pankepark-Verbindungsweg;31;Corylus colurna (aktiv);18.05.2020
163840 1638-4 Pankepark-Verbindungsweg;32;Corylus colurna (aktiv);18.05.2020
163840 1638-4 Pankepark-Verbindungsweg;33;Corylus colurna (aktiv);18.05.2020
202910 2029-1 Erna-Samuel-Straße;13/2 ;Acer campestre 'Elegant' (aktiv);19.05.2020
202910 2029-1 Erna-Samuel-Straße;13/5 ;Quercus cerris (aktiv);19.05.2020
202910 2029-1 Erna-Samuel-Straße;13/1 ;Carpinus betulus 'Fastigiata' (aktiv);19.05.2020
202910 2029-1 Erna-Samuel-Straße;13/3 ;Carpinus betulus 'Fastigiata' (aktiv);19.05.2020
202910 2029-1 Erna-Samuel-Straße;13/4 ;Carpinus betulus 'Fastigiata' (aktiv);19.05.2020
202910 2029-1 Erna-Samuel-Straße;13/6 ;Acer campestre 'Elegant' (aktiv);19.05.2020
202910 2029-1 Erna-Samuel-Straße;13/7 ;Carpinus betulus 'Fastigiata' (aktiv);19.05.2020
202910 2029-1 Erna-Samuel-Straße;13/8; Acer campestre 'Elegant' (aktiv);19.05.2020
202910 2029-1 Erna-Samuel-Straße;13/9 ;Carpinus betulus 'Fastigiata' (aktiv;19.05.2020
202910 2029-1 Erna-Samuel-Straße;13/10 ;Carpinus betulus 'Fastigiata' (aktiv);19.05.2020
202910 2029-1 Erna-Samuel-Straße;13/11 ;Carpinus betulus 'Fastigiata' (aktiv);19.05.2020
202910 2029-1 Erna-Samuel-Straße;13/12 -7 ;Carpinus betulus 'Fastigiata' (aktiv);19.05.2020
202910 2029-1 Erna-Samuel-Straße;13/13 -8 ;Carpinus betulus 'Fastigiata' (aktiv);19.05.2020
202910 2029-1 Erna-Samuel-Straße;13/14 -9; Carpinus betulus 'Fastigiata' (aktiv);19.05.2020
202910 2029-1 Erna-Samuel-Straße;13/15 -10; Carpinus betulus 'Fastigiata' (aktiv);19.05.2020
202910 2029-1 Erna-Samuel-Straße;13/16 ;Acer campestre 'Elegant' (aktiv);19.05.2020
202910 2029-1 Erna-Samuel-Straße;13/17 -11 ;Carpinus betulus 'Fastigiata' (aktiv);19.05.2020
202910 2029-1 Erna-Samuel-Straße;13/18; Acer campestre 'Elegant' (aktiv);19.05.2020
202910 2029-1 Erna-Samuel-Straße;13/19 -12; Carpinus betulus 'Fastigiata' (aktiv);19.05.2020
202910 2029-1 Erna-Samuel-Straße;13/20 -13 ;Carpinus betulus 'Fastigiata' (aktiv);19.05.2020
202910 2029-1 Erna-Samuel-Straße;13/21; Acer campestre 'Red Shine' (aktiv);19.05.2020
202910 2029-1 Erna-Samuel-Straße;13/22 ;Acer campestre 'Elegant' (aktiv);19.05.2020
202910 2029-1 Erna-Samuel-Straße;13/23 -14; Carpinus betulus 'Fastigiata' (aktiv);19.05.2020
202910 2029-1 Erna-Samuel-Straße;13/24 ;Acer campestre 'Red Shine' (aktiv);19.05.2020
202910 2029-1 Erna-Samuel-Straße;13/25; Liquidambar styraciflua 'Worplesdon' (aktiv);19.05.2020
202910 2029-1 Erna-Samuel-Straße;13/26 -15 ;Carpinus betulus 'Fastigiata' (aktiv);19.05.2020
202910 2029-1 Erna-Samuel-Straße;13/27 ;Liquidambar styraciflua 'Worplesdon' (aktiv);19.05.2020
202910 2029-1 Erna-Samuel-Straße;13/28 -16 ;Carpinus betulus 'Fastigiata' (aktiv);19.05.2020
202910 2029-1 Erna-Samuel-Straße;13/29 -17; Carpinus betulus 'Fastigiata' (aktiv);19.05.2020
202910 2029-1 Erna-Samuel-Straße;13/30 ;Acer campestre 'Elegant' (aktiv);19.05.2020
202910 2029-1 Erna-Samuel-Straße;13/31 -18; Carpinus betulus 'Fastigiata' (aktiv);19.05.2020
202910 2029-1 Erna-Samuel-Straße;11/1 -19 ;Crataegus laevigata (aktiv);19.05.2020
202910 2029-1 Erna-Samuel-Straße;11/2 -20 ;Crataegus laevigata (aktiv);19.05.2020
202910 2029-1 Erna-Samuel-Straße;11/3 ;Crataegus laevigata (aktiv);19.05.2020
202910 2029-1 Erna-Samuel-Straße;11/4 -22 ;Crataegus laevigata (aktiv);20.05.2020
202910 2029-1 Erna-Samuel-Straße;11/5 -23 ;Crataegus laevigata (aktiv);20.05.2020
202910 2029-1 Erna-Samuel-Straße;11/6 -24 ;Crataegus laevigata (aktiv);20.05.2020
202910 2029-1 Erna-Samuel-Straße;11/7 -25; Crataegus laevigata (aktiv);20.05.2020
202910 2029-1 Erna-Samuel-Straße;11/9 -26 ;Crataegus laevigata (aktiv);20.05.2020
202910 2029-1 Erna-Samuel-Straße;11/10; Acer campestre 'Elegant' (aktiv);20.05.2020
202910 2029-1 Erna-Samuel-Straße;11/11 -27 ;Crataegus laevigata (aktiv);20.05.2020
202910 2029-1 Erna-Samuel-Straße;11/12 -28 ;Crataegus laevigata (aktiv);20.05.2020
202910 2029-1 Erna-Samuel-Straße;11/13 -29; Crataegus laevigata (aktiv);20.05.2020
