Lfd.-Nr.:;Ortsteil;Straße;örtlicher_Bezug;Hausnr;Hausnr_Zusatz;Baum_Nr;Sorte botanisch;Sorte deutsch;Hochwert;Rechtswert;Pflanzjahr;Standalter;Stammanzahl;Stammumfang;Stammdurchmesser
114;Friedrichshain;Auerstraße;Nr. 26;26;;13;13 Acer platanoides 'Columnare' (aktiv);Säulenförmiger Spitz-Ahorn;5820000.181;394494.3586;2019;1;1;19;6
115;Friedrichshain;Auerstraße;vot Grfl. Ecke Löwesreaße;;;17;17 Acer platanoides 'Columnare' (aktiv);Säulenförmiger Spitz-Ahorn;5820035.644;394519.8297;2019;1;1;19;6
116;Friedrichshain;Auerstraße;Nr. 38;38;;19. Jan;19/1 Acer platanoides 'Columnare' (aktiv);Säulenförmiger Spitz-Ahorn;5820080.001;394549.2859;2019;1;1;19;6
117;Friedrichshain;Auerstraße;Nr. 16;;;7;7 Acer platanoides 'Columnare' (aktiv);Säulenförmiger Spitz-Ahorn;5819933.158;394447.2577;2019;1;1;19;6
118;Friedrichshain;Auerstraße;Nr. 16;;;7;7 Acer platanoides 'Columnare' (aktiv);Säulenförmiger Spitz-Ahorn;5819933.158;394447.2577;2019;1;1;19;6
119;Friedrichshain;Bänschstraße;;;;100;100 Crataegus prunifolia (aktiv);Pflaumenblättriger Weiss-Dorn;5819681.288;396196.8315;2016;4;1;19;6
120;Friedrichshain;Bänschstraße;;;;100/1;100/1 Crataegus prunifolia (aktiv);Pflaumenblättriger Weiss-Dorn;5819681.244;396196.8536;2016;4;1;18;6
121;Friedrichshain;Bänschstraße;Grün. Mittelstreifen;;;101;101 Crataegus prunifolia (aktiv);Pflaumenblättriger Weiss-Dorn;5819683.275;396190.4648;2016;4;1;19;6
122;Friedrichshain;Bänschstraße;;;;110;110 Crataegus prunifolia (aktiv);Pflaumenblättriger Weiss-Dorn;5819712.616;396099.9014;2013;7;1;23;7
123;Friedrichshain;Bänschstraße;;73;;111;111 Crataegus prunifolia (aktiv);Pflaumenblättriger Weiss-Dorn;5819714.6;396093.9689;2014;6;1;18;6
124;Friedrichshain;Bänschstraße;;;;117;117 Crataegus prunifolia (aktiv);Pflaumenblättriger Weiss-Dorn;5819726.189;396057.1626;2013;7;1;25;8
125;Friedrichshain;Bänschstraße;;;;118;118 Crataegus prunifolia (aktiv);Pflaumenblättriger Weiss-Dorn;5819728.256;396050.3056;2013;7;1;28;9
126;Friedrichshain;Bänschstraße;;;;119;119 Crataegus prunifolia (aktiv);Pflaumenblättriger Weiss-Dorn;5819730.399;396043.425;2013;7;1;25;8
127;Friedrichshain;Bänschstraße;vor Kirche ggü Nr. 63;63;;125;125 Crataegus prunifolia (aktiv);Pflaumenblättriger Weiss-Dorn;5819758.605;395988.7815;2014;6;1;19;6
128;Friedrichshain;Bänschstraße;;;;133;133 Crataegus prunifolia (aktiv);Pflaumenblättriger Weiss-Dorn;5819777.522;395899.0148;2013;7;1;24;8
129;Friedrichshain;Bänschstraße;;;;144;144 Crataegus prunifolia (aktiv);Pflaumenblättriger Weiss-Dorn;5819801.669;395823.8712;2013;7;1;24;8
130;Friedrichshain;Bänschstraße;;;;146;146 Crataegus prunifolia (aktiv);Pflaumenblättriger Weiss-Dorn;5819806.975;395808.4019;2013;7;1;23;7
131;Friedrichshain;Bänschstraße;;;;150;150 Crataegus prunifolia (aktiv);Pflaumenblättriger Weiss-Dorn;;;2016;4;1;20;6
132;Friedrichshain;Bänschstraße;Grün. Mittelstreifen;;;153;153 Crataegus prunifolia (aktiv);Pflaumenblättriger Weiss-Dorn;5819823.247;395757.6278;2016;4;1;22;7
133;Friedrichshain;Bänschstraße;Grün. Mittelstreifen;;;160;160 Crataegus prunifolia (aktiv);Pflaumenblättriger Weiss-Dorn;5819841.032;395702.1113;2016;4;1;21;7
134;Friedrichshain;Bänschstraße;Grün. Mittelstreifen;;;165;165 Crataegus prunifolia (aktiv);Pflaumenblättriger Weiss-Dorn;5819852.393;395666.8006;2016;4;1;20;6
135;Friedrichshain;Bänschstraße;;;;17;17 Crataegus prunifolia (aktiv);Pflaumenblättriger Weiss-Dorn;5819818.933;395748.9265;2013;7;1;25;8
136;Friedrichshain;Bänschstraße;Grün. Mittelstreifen;;;19;19 Crataegus prunifolia (aktiv);Pflaumenblättriger Weiss-Dorn;5819814.432;395763.7495;2016;4;1;21;7
137;Friedrichshain;Bänschstraße;Grün. Mittelstreifen;;;20;20 Crataegus prunifolia (aktiv);Pflaumenblättriger Weiss-Dorn;5819812.142;395770.5953;2016;4;1;22;7
138;Friedrichshain;Bänschstraße;;;;20. Jan;20/1 Crataegus prunifolia (aktiv);Pflaumenblättriger Weiss-Dorn;5819810.648;395777.2537;2016;4;1;22;7
139;Friedrichshain;Bänschstraße;;;;24;24 Crataegus prunifolia (aktiv);Pflaumenblättriger Weiss-Dorn;5819798.246;395814.0669;2013;7;1;25;8
140;Friedrichshain;Bänschstraße;Grün. Mittelstreifen;46;;25;25 Crataegus prunifolia (aktiv);Pflaumenblättriger Weiss-Dorn;5819796.611;395820.5272;2014;6;1;19;6
141;Friedrichshain;Bänschstraße;;;;31;31 Crataegus prunifolia (aktiv);Pflaumenblättriger Weiss-Dorn;5819782.112;395863.2155;2013;7;1;26;8
142;Friedrichshain;Bänschstraße;;74;;61;61 Crataegus prunifolia (aktiv);Pflaumenblättriger Weiss-Dorn;5819708.341;396092.8898;2014;6;1;18;6
143;Friedrichshain;Bänschstraße;;;;74;74 Crataegus prunifolia (aktiv);Pflaumenblättriger Weiss-Dorn;5819673.695;396201.8934;2016;4;1;22;7
144;Friedrichshain;Bänschstraße;;;;78;78 Crataegus prunifolia (aktiv);Pflaumenblättriger Weiss-Dorn;5819661.931;396237.6044;2013;7;1;8;3
145;Friedrichshain;Bänschstraße;;;;79;79 Crataegus prunifolia (aktiv);Pflaumenblättriger Weiss-Dorn;5819658.31;396248.1745;2013;7;1;8;3
146;Friedrichshain;Bänschstraße;Grün. Mittelstreifen;;;81;81 Crataegus prunifolia (aktiv);Pflaumenblättriger Weiss-Dorn;5819653.338;396262.4986;2016;4;1;22;7
147;Friedrichshain;Bänschstraße;;;;87;87 Crataegus prunifolia (aktiv);Pflaumenblättriger Weiss-Dorn;5819652.034;396286.1995;2013;7;1;23;7
148;Friedrichshain;Bänschstraße;;;;88;88 Crataegus prunifolia (aktiv);Pflaumenblättriger Weiss-Dorn;5819653.936;396279.9593;2013;7;1;26;8
149;Friedrichshain;Bänschstraße;Grün. Mittelstreifen;;;89;89 Crataegus prunifolia (aktiv);Pflaumenblättriger Weiss-Dorn;5819655.821;396274.4927;2016;4;1;20;6
150;Friedrichshain;Bänschstraße;;;;9;9 Crataegus prunifolia (aktiv);Pflaumenblättriger Weiss-Dorn;5819839.99;395685.8567;2016;4;1;19;6
151;Friedrichshain;Bänschstraße;Grün. Mittelstreifen;91;;90;90 Crataegus prunifolia (aktiv);Pflaumenblättriger Weiss-Dorn;5819657.84;396267.7025;2014;6;1;21;7
152;Friedrichshain;Bänschstraße;;;;91;91 Crataegus prunifolia (aktiv);Pflaumenblättriger Weiss-Dorn;5819660.012;396261.9416;2013;7;1;28;9
153;Friedrichshain;Bänschstraße;;;;92;92 Crataegus prunifolia (aktiv);Pflaumenblättriger Weiss-Dorn;5819662.331;396254.0814;2013;7;1;25;8
154;Friedrichshain;Bänschstraße;;;;93;93 Crataegus prunifolia (aktiv);Pflaumenblättriger Weiss-Dorn;5819665.029;396246.6945;2013;7;1;23;7
155;Friedrichshain;Bänschstraße;Grün. Mittelstreifen;;;99;99 Crataegus prunifolia (aktiv);Pflaumenblättriger Weiss-Dorn;5819677.729;396208.6776;2016;4;1;20;6
156;Friedrichshain;Boxhagener Straße;Nr. 75;75;;13. Jan;13/1 Fraxinus ornus 'Obelisk' (aktiv);Säulen-Blumenesche;5818553.022;396047.6562;2019;1;;;
157;Friedrichshain;Boxhagener Straße;Nr. 99/ Ecke Mainzerstraße;;;30;30 Acer platanoides 'Olmstedt' (aktiv);Spitz-Ahorn 'Olmstedt';5819124.687;395582.0962;2013;7;1;41;13
